x,y,extruding
2.0,10.0,0
98.506,129.419,1
106.261,88.129,1
87.894,108.084,1
92.939,117.25,1
102.95,92.856,1
92.252,116.541,1
104.111,92.026,1
91.595,115.782,1
105.347,91.278,1
90.95,114.98,1
105.251,90.891,1
111.402,113.701,1
112.584,107.532,1
108.274,107.295,1
106.805,109.728,1
108.841,112.559,1
128.254,97.505,1
114.494,91.75,1
106.777,92.038,1
128.254,120.985,1
97.819,96.42,1
94.714,99.718,1
125.917,128.253,1
93.661,101.867,1
112.039,128.249,1
93.029,116.709,1
93.733,94.36,1
92.991,124.829,1
131.247,88.202,1
99.034,124.939,1
94.181,100.346,1
97.708,124.409,1
94.333,99.358,1
96.4,123.76,1
94.544,98.363,1
95.433,123.375,1
94.799,97.351,1
112.395,106.84,1
106.842,108.363,1
106.962,111.851,1
109.791,113.144,1
112.42,111.249,1
122.741,128.225,1
114.059,128.222,1
128.226,105.37,1
113.969,111.522,1
96.966,122.734,1
113.653,107.784,1
107.989,106.229,1
115.765,91.777,1
91.953,107.484,1
127.818,127.739,1
92.07,114.687,1
106.855,91.737,1
91.465,113.893,1
106.786,91.336,1
90.896,113.054,1
108.118,90.746,1
90.296,111.682,1
109.519,90.231,1
108.228,113.545,1
112.65,112.372,1
112.468,108.042,1
109.374,107.348,1
126.214,91.774,1
128.226,102.471,1
128.226,111.156,1
102.012,93.627,1
98.483,95.887,1
113.963,109.051,1
110.959,114.153,1
93.251,102.814,1
110.553,128.221,1
100.095,125.29,1
96.349,122.534,1
95.755,98.146,1
95.442,122.115,1
96.049,97.191,1
94.544,121.637,1
96.4,96.24,1
93.641,121.111,1
97.166,94.955,1
113.94,109.58,1
109.587,106.467,1
107.002,109.02,1
106.955,110.815,1
109.051,112.554,1
120.426,128.224,1
111.744,128.222,1
128.226,103.054,1
99.81,125.102,1
96.407,122.136,1
128.226,92.633,1
107.271,106.711,1
115.186,91.777,1
106.063,92.216,1
127.76,127.84,1
91.535,111.578,1
128.532,91.468,1
91.073,110.692,1
128.939,91.061,1
90.654,109.764,1
129.346,129.306,1
90.261,108.797,1
106.216,108.887,0
108.477,113.659,1
113.442,110.903,1
112.468,108.042,1
110.116,107.279,1
128.226,94.365,1
116.953,91.777,1
108.345,91.853,1
128.226,120.42,1
108.59,105.995,1
128.226,123.894,1
124.452,128.225,1
93.084,103.226,1
91.784,110.611,1
95.439,120.963,1
94.669,120.413,1
97.973,95.901,1
93.833,119.866,1
98.793,94.733,1
93.014,119.262,1
99.724,93.608,1
92.198,118.611,1
100.322,92.755,1
113.942,110.399,1
110.323,106.458,1
106.992,109.11,1
106.924,110.636,1
109.192,112.586,1
114.111,108.834,1
99.567,124.945,1
99.034,124.939,1
94.181,100.346,1
98.793,125.267,1
94.333,99.358,1
97.444,124.718,1
94.544,98.363,1
96.101,124.067,1
94.799,97.351,1
111.891,106.518,1
106.201,108.928,1
107.985,112.927,1
111.073,112.963,1
112.612,110.768,1
92.716,104.23,1
113.685,112.16,1
109.557,128.526,1
91.633,107.525,1
108.157,128.849,1
91.375,106.56,1
106.717,129.066,1
90.975,106.486,1
105.231,129.191,1
90.751,105.466,1
108.577,106.309,1
106.075,110.556,1
109.798,113.551,1
113.05,110.786,1
112.087,108.25,1
122.479,128.225,1
105.911,108.759,1
128.532,128.532,0
91.48,109.324,1
109.545,128.933,1
91.132,108.362,1
108.118,129.254,1
90.896,106.947,1
106.644,129.488,1
90.646,105.936,1
106.468,108.196,1
106.603,112.047,1
112.106,112.866,1
112.759,108.479,1
109.729,107.291,1
106.907,127.962,1
128.226,112.874,1
96.574,97.673,1
92.611,116.409,1
102.96,92.858,1
91.931,115.677,1
104.103,92.003,1
91.282,114.893,1
105.334,91.225,1
90.647,114.064,1
106.644,90.512,1
110.907,113.857,1
113.099,108.255,1
110.079,106.852,1
107.948,108.207,1
107.382,109.312,1
107.046,113.089,1
91.785,110.666,1
92.611,116.409,1
102.951,92.861,1
91.931,115.677,1
104.103,92.003,1
91.543,115.799,1
103.976,91.615,1
91.134,115.927,1
103.843,91.208,1
112.584,113.004,1
112.807,107.817,1
109.01,107.009,1
107.379,109.274,1
107.411,110.851,1
128.226,105.198,1
105.747,109.585,1
93.729,118.872,1
101.356,93.608,1
92.953,118.252,1
101.96,92.852,1
92.03,117.168,1
101.787,92.483,1
91.633,117.329,1
100.782,92.505,1
113.555,111.756,1
111.536,106.79,1
108.432,107.266,1
106.956,109.184,1
107.641,111.365,1
99.567,124.945,1
116.709,91.777,1
94.669,120.413,1
97.973,95.901,1
93.833,119.866,1
98.793,94.733,1
93.014,119.262,1
99.724,93.608,1
92.638,119.468,1
99.494,93.246,1
113.902,109.309,1
109.345,106.507,1
106.98,109.097,1
106.867,110.359,1
107.973,111.821,1
118.642,91.776,1
106.793,112.826,1
96.349,122.534,1
95.755,98.146,1
95.442,122.115,1
96.049,97.191,1
95.749,123.085,1
95.749,96.915,1
95.433,123.375,1
95.433,96.625,1
113.133,107.575,1
108.71,106.694,1
106.522,109.251,1
107.683,112.136,1
110.895,112.573,1
104.546,92.426,1
108.804,114.102,1
102.96,127.142,1
92.927,102.794,1
101.545,126.947,1
92.551,102.638,1
101.364,127.312,1
92.175,102.481,1
101.172,127.695,1
91.283,103.616,1
108.847,106.215,1
106.045,109.737,1
107.749,112.754,1
112.013,112.424,1
112.7,110.356,1
112.87,128.222,1
114.102,111.196,1
99.052,95.214,1
91.469,109.774,1
128.939,128.939,1
91.095,108.848,1
109.532,129.341,1
90.769,107.884,1
108.076,129.681,1
90.472,106.883,1
106.937,107.484,1
106.41,111.692,1
110.288,113.545,1
112.327,112.124,1
112.615,109.239,1
91.802,109.008,1
97.113,122.887,1
108.197,128.443,1
91.701,107.071,1
106.786,128.664,1
91.465,106.107,1
108.118,129.254,1
91.066,106.024,1
108.076,129.681,1
90.646,105.936,1
106.485,108.168,1
107.111,112.712,1
111.244,113.332,1
112.881,111.28,1
112.309,108.555,1
91.785,109.336,1
128.226,120.55,1
108.007,106.22,1
91.535,111.578,1
108.197,91.557,1
91.129,111.612,1
108.157,91.151,1
90.723,111.647,1
108.118,90.746,1
90.401,112.641,1
108.076,90.319,1
110.623,113.914,1
113.553,110.14,1
110.954,106.997,1
108.653,107.633,1
107.35,109.364,1
109.676,105.739,1
106.907,127.962,1
95.195,121.147,1
97.973,95.901,1
95.442,122.115,1
96.685,96.531,1
95.749,123.085,1
95.749,96.915,1
96.101,124.067,1
94.799,97.351,1
111.694,106.415,1
106.646,108.813,1
106.696,111.3,1
111.074,112.962,1
112.625,110.725,1
116.709,128.223,1
113.783,111.988,1
108.197,128.443,1
91.863,106.191,1
108.157,128.849,1
91.298,107.009,1
108.118,129.254,1
90.896,106.947,1
108.076,129.681,1
90.472,106.882,1
106.495,108.149,1
106.323,111.464,1
110.532,113.517,1
113.147,110.154,1
111.241,107.575,1
91.974,112.674,1
106.168,108.107,1
118.642,128.224,1
91.863,113.809,1
106.855,91.737,1
91.465,113.893,1
106.786,91.336,1
91.066,113.976,1
105.334,91.225,1
90.646,114.064,1
105.231,90.809,1
110.892,113.861,1
113.391,108.929,1
110.954,106.997,1
107.947,108.208,1
107.357,109.397,1
109.566,91.779,1
105.741,110.347,1
94.181,119.654,1
99.034,95.061,1
93.833,119.866,1
98.793,94.733,1
93.485,120.078,1
98.552,94.404,1
93.12,120.302,1
98.298,94.059,1
113.468,108.091,1
108.417,106.815,1
106.452,109.738,1
107.683,112.136,1
110.716,112.628,1
128.409,95.429,1
108.151,113.852,1
102.96,127.142,1
92.458,104.024,1
104.103,127.997,1
92.073,103.89,1
103.976,128.385,1
91.688,103.757,1
103.843,128.792,1
91.283,103.616,1
108.209,106.464,1
106.184,111.071,1
109.553,113.529,1
112.468,111.958,1
112.716,109.793,1
91.974,107.326,1
114.111,111.167,1
99.046,95.208,1
91.48,109.323,1
128.532,128.492,1
91.073,109.308,1
128.939,128.899,1
90.654,110.236,1
129.346,129.306,1
90.226,110.241,1
129.774,129.735,1
107.787,113.285,1
112.807,112.183,1
112.648,108.293,1
110.309,107.293,1
92.716,115.77,1
107.224,106.75,1
128.226,110.964,1
93.317,118.07,1
101.399,93.585,1
92.95,118.247,1
101.212,93.224,1
92.583,118.424,1
101.024,92.862,1
92.198,118.611,1
100.827,92.482,1
113.85,110.938,1
111.045,106.6,1
107.133,108.69,1
106.981,110.906,1
109.264,112.622,1
122.479,91.775,1
107.41,113.4,1
96.969,123.177,1
95.755,98.146,1
96.685,123.469,1
94.869,98.608,1
96.4,123.76,1
94.544,98.363,1
96.101,124.067,1
94.201,98.106,1
111.136,106.203,1
106.678,108.735,1
106.571,110.948,1
109.574,113.122,1
111.988,111.862,1
92.702,104.27,1
107.691,113.597,1
104.23,127.61,1
92.319,104.445,1
104.103,127.997,1
91.931,104.323,1
103.976,128.385,1
91.542,104.201,1
