frame,center_x,center_y,center_z,angle_deg
0,-7.6013416504839455,6.4976615110836615,50.0,49.47602701039193
1,-7.6013416504839455,6.4976615110836615,50.0,49.47602701039193
2,-7.6013416504839455,6.4976615110836615,50.0,49.47602701039193
3,-7.6013416504839455,6.4976615110836615,50.0,49.47602701039193
4,-7.401687327535856,8.255691396110139,50.0,51.27602701039192
5,-7.194333681104616,10.007547668987433,50.0,53.07602701039191
6,-6.979090592497726,11.753475217615454,50.0,54.8760270103919
7,-6.7557757289496205,13.493724780829165,50.0,56.67602701039194
8,-6.524214723562064,15.228552700949635,50.0,58.47602701039193
9,-6.35577572894962,15.493724780829165,40.056,56.67602701039194
10,-6.179090592497726,15.753475217615454,30.112,54.8760270103919
11,-5.9943336811046155,16.007547668987435,20.168000000000003,53.07602701039191
12,-5.8016873275358565,16.255691396110137,10.223999999999997,51.27602701039192
13,-5.6013416504839455,16.497661511083663,0.28000000000000114,49.47602701039193
14,-5.028524992252097,35.684784771794725,0.28,44.65631079536394
15,-4.406002684391029,54.82160245752769,0.28,39.83659458033593
16,-3.7381771976545695,73.90411614283043,0.28,35.01687836530793
17,-3.029771386367596,92.92871143953064,0.28,30.19716215027994
18,-2.2857950884534226,111.89218355764822,0.28,25.37744593525195
19,-1.511509695916391,130.79175996963397,0.28,20.557729720223957
20,-0.7123909463368472,149.62512001765327,0.28,15.738013505195966
21,-0.3326574533923572,149.70583255507347,0.28,13.931739667241192
22,0.04946869767082074,149.7768997257789,0.28,12.125465829286444
23,0.43368229405019876,149.8382509053363,0.28,10.319191991331671
24,0.8196760485024175,149.88982512477457,0.28,8.512918153376923
25,1.1479408959132893,123.93341632172391,0.28,6.615501784052317
26,1.477469068325294,97.9661147327551,0.28,4.718085414727686
27,1.80789921172689,71.98788450144379,0.28,2.8206690454030814
28,2.1388689830231833,45.99870175549646,0.28,0.9232526760784506
29,2.4700154473740925,19.99855463292841,0.28,-0.9741636932461547
30,2.7839937457183406,19.988280635530096,0.34400000000000003,-2.77416369324617
31,3.0974944006688334,19.96814941104425,0.40800000000000003,-4.57416369324616
32,3.410208024928532,19.93818082655897,0.472,-6.37416369324615
33,3.72182600790467,19.898404457448983,0.536,-8.174163693246165
34,4.032040820270135,19.848859558188344,0.6,-9.974163693246155
35,26.93284787147808,40.89063436376327,0.6,-9.923596346910264
36,49.83365358032917,61.93240149663832,0.6,-9.873029000574371
37,72.73445795359558,82.97416095563176,0.6,-9.822461654238506
38,95.63526099805058,104.01591273956784,0.6,-9.771894307902615
39,95.30334294863458,104.06735344779369,0.6,-7.847350091050146
40,94.96988457749498,104.10761823026942,0.6,-5.922805874197678
41,94.63526207815406,104.13666166198354,0.6,-3.998261657345235
42,94.29985295745394,104.15445097737422,0.6,-2.0737174404927665
43,93.96403560966942,104.16096610729403,0.6,-0.14917322364029836
44,94.52149493331272,104.14396216875525,0.52,-3.345079683920401
45,95.07713929578249,104.09590622325165,0.43999999999999995,-6.5409861442004775
46,95.62924036511455,104.01694774881682,0.36,-9.73689260448058
47,96.17608083075916,103.90733234581032,0.27999999999999997,-12.932799064760681
48,96.71595974527597,103.76740097297767,0.2,-16.128705525040786
49,97.41124364837596,103.41953380600764,0.2,-19.130711767094493
50,98.09753283885672,103.04573641852133,0.2,-22.1327180091482
51,98.77348167054673,102.64651545592841,0.2,-25.134724251201906
52,99.43777287739064,102.22244734110282,0.2,-28.136730493255612
53,100.08912118881369,101.7741766923345,0.2,-31.13873673530932
54,100.62509476405967,101.37175458744386,0.2,-32.53634359567899
55,101.15786832524547,100.96431649075693,0.2,-33.93395045604866
56,101.68732048218638,100.55194194417885,0.2,-35.33155731641834
57,102.21333182087079,100.13471342670968,0.2,-36.72916417678801
58,102.5078293857994,99.93445722580536,0.2,-35.71352827936476
59,102.80049280580332,99.73164981350322,0.2,-34.69789238194151
60,103.09136758992625,99.52625907991128,0.2,-33.68225648451825
61,103.38049980921845,99.31825372684186,0.2,-32.666620587095
62,103.5719206030794,99.21530149084595,0.2,-31.544932419527
63,103.76133634543277,99.10908306040677,0.2,-30.42324425195898
64,103.94881135919881,98.999559810723,0.2,-29.30155608439096
65,104.13441071108721,98.88669438357388,0.2,-28.179867916822964
66,104.34592432008412,98.7912084959212,0.2,-27.061230264547316
67,104.55570382064522,98.69232820139658,0.2,-25.942592612271696
68,104.76381581115099,98.59002029249824,0.2,-24.82395495999605
69,104.97032752558839,98.48425286823144,0.2,-23.705317307720428
70,105.1743313528597,98.40963113433253,0.2,-22.58838336727988
71,105.37687552767163,98.33150080573941,0.2,-21.471449426839335
72,105.57802872019231,98.24983409618608,0.2,-20.354515486398814
73,105.77786012917814,98.16460456326953,0.2,-19.237581545958268
74,105.98643612227514,98.10403820935117,0.2,-18.120627509859915
75,106.19383016847758,98.03986008816044,0.2,-17.003673473761562
76,106.40011289759948,97.97204784594284,0.2,-15.886719437663187
77,106.60535536178259,97.90058050999887,0.2,-14.769765401564834
78,106.94089923543456,97.8315827534536,0.2,-13.673568175575321
79,107.27557784665984,97.75902841808036,0.2,-12.577370949585834
80,107.60945939502238,97.68290160138187,0.2,-11.481173723596322
81,107.94261237183649,97.60318770850282,0.2,-10.384976497606836
82,108.11449269115401,97.58808259887532,0.2,-9.011010697976285
83,108.28547238375542,97.56729821987088,0.2,-7.637044898345761
84,108.45568788569811,97.54081460918358,0.2,-6.2630790987152105
85,108.62527607246733,97.50861508170101,0.2,-4.889113299084686
86,108.63906512292391,97.51043734620986,0.2,-3.0063431064288237
87,108.65228789902298,97.50147729195253,0.2,-1.1235729137729362
88,108.66529895551635,97.48172213512821,0.2,0.7591972788829261
89,108.67845307575324,97.45117074760104,0.2,2.641967471538788
90,108.69210488861441,97.40983365811829,0.2,4.52473766419465
91,112.29052700181879,97.35551524143779,0.2,7.4353437929580855
92,115.8922878887885,97.2756132620727,0.2,10.345949921721544
93,119.49868231980882,97.17033025909895,0.2,13.25655605048498
94,123.11099311038707,97.03993425591663,0.2,16.16716217924844
95,126.73048781152379,96.8847580687362,0.2,19.077768308011876
96,126.42173849597266,96.74174006910756,0.2,22.644122087872496
97,126.12790101318618,96.56297630460533,0.2,26.210475867733145
98,125.85117003028134,96.3494635814914,0.2,29.776829647593793
99,125.59367395848162,96.10233329365936,0.2,33.34318342745441
100,125.35746670947907,95.82284704058581,0.2,36.90953720731504
101,125.0613774956988,95.63697559635982,0.2,40.23535825922346
102,124.7870460965647,95.42538946099019,0.2,43.56117931113188
103,124.53592767743541,95.18939420031697,0.2,46.88700036304029
104,124.3093992118279,94.93037760118169,0.2,50.21282141494871
105,124.10875484314634,94.6498049967319,0.2,53.538642466857084
106,123.93520152542024,94.34921433051483,0.2,56.864463518765504
107,123.63382032293109,93.96805992198632,0.2,60.6666924762592
108,123.37081701005893,93.56533950079998,0.2,64.4689214337529
109,123.14753721372485,93.14364547828806,0.2,68.2711503912466
110,122.96515168913584,92.70565379177643,0.2,72.07337934874023
111,122.8246511658613,92.2541121245158,0.2,75.87560830623399
112,122.72684198642207,91.79182780977209,0.2,79.67783726372762
113,122.62549079283694,97.76491833214273,0.2,83.69476271129984
114,122.57297438916711,103.7326129251732,0.2,87.71168815887206
115,122.56955079897159,109.69834577798306,0.2,91.72861360644428
116,122.61523684303141,115.66556071811254,0.2,95.74553905401645
117,122.70980805670578,121.63769429131152,0.2,99.76246450158867
118,122.85279979277163,127.6181588771051,0.2,103.77938994916083
